Title,Country,Year,Genre,Director,Starring,Poster URL
The Rise of a Kung Fu Master,Hong Kong,1987,"martial arts, drama",,"Cecilia Wong Hang-Sau, Mang Fei, Kitty Lai Mei-Han, Andy Tai Chi-Wai, Paul Chun Pui, Eddy Ko Hung, Lau Kong, Ng Man-Tat ",https://en.hkcinema.ru/foto/nofoto.gif
Dragon Gate,Taiwan,1975,martial arts,Ulysses Au-Yeung Jun ,"Hsu Feng, Carter Wong Ka-Tat, Liu Shan-Chian, Chin Chi-Min, Wang Ching-Ping, Chang Yu, Chang Fang-Hsia, Chiang Ching-Hsia, Chan Wai-Lau ",https://en.hkcinema.ru/foto/5622bd356ac72.jpg
All Men Are Brothers - Blood of the Leopard,Hong Kong,1993,martial arts,Billy Chan Wui-Ngai ,"Tony Leung Ka-Fai, Joey Wong Cho-Yin, Lau Ching-Wan, Elvis Tsui Kam-Kong, Billy Ching Sau-Yat, Wu Ma, Lam Wai, Lau Shun, Austin Wai Tin-Chi ",https://en.hkcinema.ru/foto/e38de328.jpg
Close Kung Fu Encounter,South Korea,1975,martial arts,Kim Si-Hyeon ,"Ko Keung, Whang In-Shik, Martin Chui Man-Kwai, Kim Ki-Ju, Lee Ye-Min, Han Myeong-Hwan, Lee Suk-Koo, Jang Jeong-Kuk, Chiu Chun ",https://en.hkcinema.ru/foto/562bb895489b4.jpg
Win Them All,Hong Kong,1973,martial arts,Kao Pao-Shu ,"Wong Yuen-San, Woo Gam, Kurata Yasuaki, Hsu Feng, Tien Feng, Cindy Tang Hsin, Tien Yeh, Chan Wai-Lau, Hsieh Han, Sun Yueh, Shih Ting-Ken ",https://en.hkcinema.ru/foto/146e08c1.jpg
Heroes Shed No Tears,Hong Kong,1980,martial arts,Chor Yuen ,"Alexander Fu Sheng, Derek Yee Tung-Sing, Jason Pai Piao, Ku Feng, Angie Chiu Nga-Chi, Yueh Hua, Wang Sha, Keung Hon, Ku Kuan-Chung ",https://en.hkcinema.ru/foto/ab8fc108.jpg
"Heroine, The (Part 1)",Hong Kong,1950,martial arts,Hung Chung-Ho ,"Yu So-Chau, Lam Kau, Ha Wa, Sek Kin, Yam Yin, Ng Tung ",https://en.hkcinema.ru/foto/f3cdb2b3.jpg
City Called Dragon,Taiwan,1969,martial arts,Larry Tu Chong-Hsun ,"Hsu Feng, Shih Chun, Chan Wai-Lau, Hsieh Han, Wan Chung-Shan, Go Ming, Chia Lu-Shih, Gam Ban, Liu Chik, Lung Fei, Lee Kwai, Lee Keung ",https://en.hkcinema.ru/foto/077a2f8d.jpg
Stormy Sun,Hong Kong,1973,martial arts,Wu Min-Hsiung ,"Chang Yu, Tin Mat, Pai Ying, An Hua, Chang Peng, Gam Ying, Wu Min-Hsiung, Wang Tai-Lang, Lam Fung-Sing, Lee Saan, Li Hsun, Kim Wang-Kuk ",https://en.hkcinema.ru/foto/4f4743dd.jpg
Female Robin Hood,Hong Kong,1947,martial arts,Yam Pang-Nin ,"Wong Ho, Wu Lai-Chu, Walter Tso Tat-Wah, Yam Yi-Ji, Meng Na, Chiang Nan, Chui Dai-Chuen, Wah Mung, Wai To-Ming, Wong Kwai-Ping ",https://en.hkcinema.ru/foto/c4deb6b3.jpg
Yoga and the Kung-Fu Girl,Taiwan,1979,martial arts,Sun Yung ,"Chi Kuan-Chun, Pai Ying, Lo Dik, Chiang Ching-Hsia, Phoenix Chen, Wong Yeuk-Ping, Hsiao Wang, Liu Yin-Shang, Yen Chung, Chen Chin-Hai ",https://en.hkcinema.ru/foto/50af5dbd.jpg
Village of Tigers,Hong Kong,1974,martial arts,"Griffin Yueh Feng, Wong Ping ","Shu Pei-Pei, Yueh Hua, Wang Hsieh, Karen Yip Leng-Chi, Li Min-Lang, Tung Li, Chan Ho, Chan Shen, Yue Fung, Bai Yu, Wang Han-Chen ",https://en.hkcinema.ru/foto/f8659fdb.jpg
Fearless,China,2019,"historical, action, martial arts","Bai Shan, Liu Fang ","Vincent Zhao Wen-Zhuo, Nikita Mao, Ashton Chen, Wu Chao, Zhang Yong-Gang, Ying Zhi-Gang, Eddy Ko Hung, Austin Sui Ming-Yang, Hasi Gaowa ",https://en.hkcinema.ru/foto/5c511aeb00745.jpg
Battle of the Mirror Guardian,Taiwan,1971,martial arts,Joseph Kuo Nan-Hong ,"Chiang Nan, Li Hsuan, Chiang Ching-Hsia, Chen Kuo-Chun ",https://en.hkcinema.ru/foto/nofoto.gif
The Monk's Fight,Hong Kong,1979,martial arts,Yu Chik-Lim ,"Lee Wing, Casanova Wong, Pearl Cheung Ling, Chu Tit-Wo, Ho Pak-Kwong, Tsai Hung, Tien Feng, Chan Wai-Lau, Ling Yun, Ma Shih-Hen ",https://en.hkcinema.ru/foto/8c7d71f9.jpg
Chivalrous Robber Lee San,Taiwan,1972,martial arts,"Lee Chi-Sin, Lau Sau-Wa ","Chen Hung-Lieh, Mang Lee, Shih Chun, Lisa Chiao Chiao, Kong Ban, Miao Tian, Shen Yi, Wang Lai, Yeung Fui-Yuk, Wong Yeuk-Ping, Lee Keung ",https://en.hkcinema.ru/foto/8ea65d9a.jpg
Super Woman Caputor: Unknown Killer,China,2007,"drama, historical, martial arts, action",Si Xiao-Dong ,"Shang Rong, Anna Fang An-Na, Gao Fa, Zhang Wen-Jun, Xiu Ge, Wang Ou, Qi Jing-Bin, Deng Hui-Dan, Niu Ting-Ting, Chiu Chin, Du Hong-Jun ",https://en.hkcinema.ru/foto/5d7a478658cf1.jpg
Super Woman Caputor: The Puzzle,China,2007,"historical, martial arts, action, drama",Si Xiao-Dong ,"Shang Rong, Wu Yue, Miao Hai-Zhong, Anna Fang An-Na, Cui Bao-Gui, Fu Hong-Jun, Tian Xi-Ping ",https://en.hkcinema.ru/foto/5d7a44cc45fc1.jpg
