Title,Country,Year,Genre,Director,Starring,Poster URL
Lung Wei Village,Taiwan,1978,martial arts,Tyrone Hsu Tien-Yung ,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming ",https://en.hkcinema.ru/foto/25eb7aa9.jpg
The Absurd Brave,Taiwan,1969,martial arts,Chang Fang-Hsia ,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung ",https://en.hkcinema.ru/foto/a2f25718.jpg
The Adventurers,Hong Kong,1986,martial arts,Lee Lik-Chi ,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen ",https://en.hkcinema.ru/foto/nofoto.gif
The Unity Of Heroes,China,2018,"martial arts, action, drama, comedy, historical",Lin Zhen-Zhao ,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si ",https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg
Blue Butterfly the Amazon,South Korea,1983,martial arts,Choe U-Hyeong ,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su ",https://en.hkcinema.ru/foto/nofoto.gif
Butterfly Lovers,Hong Kong,2008,"martial arts, romance",Jingle Ma Choh-Shing ,"Charlene Choi Cheuk-Yin, Wu Chun, Hu Ge, Shao Bing, Bonnie Sin Sik-Lai, Wan Qian, Wei Yi-Bo, Jerry Yuan Cheng-Jie, Fan Siu-Wong, Xiong Xin-Xin ",https://en.hkcinema.ru/foto/6e172a4f.jpg
The Rascal He on Fire,Hong Kong,1959,martial arts,Wu Pang ,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Yam Tai-Goon, Gam Lau, Ng Yan-Chi, Chow Chung, Wong Hak, Lai Man ",https://en.hkcinema.ru/foto/6de5b200.jpg
The 7 Tyrants of Jiangnan,Hong Kong,1962,martial arts,Lung To ,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo ",https://en.hkcinema.ru/foto/nofoto.gif
DOA: Dead or Alive,China,2006,"action, martial arts",Corey Yuen Kwai ,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer ",https://en.hkcinema.ru/foto/8929dae5.jpg
Venture of the Lady Musketeer,Hong Kong,1961,martial arts,Wong Tin-Lam ,"Helen Li Mei, Chang Yang, So Fung, Wang Lai, Liu En-Jia, Ou-Yang Sha-Fei, Wu Chia-Hsiang, Chiang Kuang-Chao, Lee Ying, Chen Yu-Hsin ",https://en.hkcinema.ru/foto/c73ab22d.jpg
