title,country,poster,release_year,genre,director,starring
Iron-man's 3 Visits to the Hero from Emei Mountain,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1954,martial arts,Fung Chi-Kong ,"Yu So-Chau, Lam Kau, Ha Wa, Lam Kar-Yee "
Three Attempts to Steal the Cup of the Nine Dragons,Hong Kong,https://en.hkcinema.ru/foto/67b2bf81.jpg,1959,martial arts,Wong Hok-Sing ,"Kwan Tak-Hing, Lai Yee, Tang Pik-Wan, Lee Hoi-Chuen, Sek Kin, Lui Tsi-Hung, Siu San-Kuen, Cheung Sing-Fei "
Ghost Sword's Three Siblings,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Shao Lo-Hui ,"O Chun-Hung, Chiang Ching-Hsia, Kuo Yeh-Jen, Wu Pin-Nan "
The Three Battles Between White Eye-Brows and White Chrysanthemum,Hong Kong,https://en.hkcinema.ru/foto/81bd08bc.jpg,1950,martial arts,Mak Hak ,"Lo Ban-Chiu, Law Yim-Hing, Wong Ha-Fei, Ho Sik-Ping, Ho Siu-Hung "
Three Tigers (Part 1),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Wong Hok-Sing ,"Yu Lai-Zhen, Law Yim-Hing, Yu So-Chau, Yu Kai, Simon Yuen Siu-Tin, Ko Lo-Chuen, Wah Wan-Fung, Sai Gwa-Pau, Yuen Lap-Cheung, Cecelia Lee Fung-Sing "
Three Tigers (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1964,martial arts,Wong Hok-Sing ,"Yu Lai-Zhen, Law Yim-Hing, Yu So-Chau, Yu Kai, Simon Yuen Siu-Tin, Yeung Yip-Wang, Ng Yan-Chi, Wan Ling-Kwong, Sai Gwa-Pau, Ko Lo-Chuen "
Three Encounters,Hong Kong,https://en.hkcinema.ru/foto/c2f247e6.jpg,1969,martial arts,Richard Yeung Kuen ,"Petrina Fung Bo-Bo, Kenneth Tsang Kong, Sek Kin, Cheung Hei, Fung Fung, Hao Li-Jen, Fung Ngai, Tam Bing-Man, Chin Chun, Gam Lau "
Three Swordswomen,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1954,martial arts,,"Yu So-Chau, Lam Mui-Mui, Yam Yin, Lam Kau "
Fang Shiyu and Wu Weiqian's Three Attemps at Wudang Mountain,Hong Kong,https://en.hkcinema.ru/foto/3106106a.jpg,1949,martial arts,Ku Wen-Chung ,"Sek Yin-Tsi, Lau Hak-Suen, Luk Fei-Hung, Tai Hau-Ho, Ho Siu-Hung, Ko Lo-Chuen, Lai Ming, Lee Keng-Ching, Lee Pang-Fei, Ma Ying "
Trilogy of Swordsmanship,Hong Kong,https://en.hkcinema.ru/foto/24bfc52b.jpg,1972,"martial arts, drama","Chang Cheh, Griffin Yueh Feng, Cheng Kang ","Shih Szu, Yueh Hua, Tin Ching, Meng Yuen-Man, Kao Pao-Shu, Bolo Yeung Sze, Chang Ching-Po, Mars, Chow Siu-Loi, Alan Chui Chung-San "
The Thirteen Grand Tutors,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1951,martial arts,Wang Yin ,"Huang He, Bao Fang, Ou-Yang Sha-Fei, Hung Bo, Yu So-Chau, Wang Yin, Wang Yuan-Long, Kao Pao-Shu, Lan Qing, Liu Su, Hung Mei "
Thirteen Heroes with Seven Swords,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1946,martial arts,,Mak Bing-Wing 
Thirteen Heroes with Seven Swords (Part 1),Hong Kong,https://en.hkcinema.ru/foto/1911f6b6.jpg,1949,martial arts,Ku Wen-Chung ,"Walter Tso Tat-Wah, Lam Ka-Sing, Lau Kwai-Hong, Lau Hak-Suen, Lee Pang-Fei, Ling Mung, Law Yim-Hing, Ma Ying, Ho Siu-Hung "
Thirteen Heroes with Seven Swords (Part 2),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Ku Wen-Chung ,"Walter Tso Tat-Wah, Law Yim-Hing, Ma Ying, Lau Hak-Suen, Lau Kwai-Hong, Lam Ka-Sing, Lee Pang-Fei, Ling Mung, Ho Siu-Hung "
Thirteen Heroes with Seven Swords (Part 3),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,Ku Wen-Chung ,"Walter Tso Tat-Wah, Lau Kwai-Hong, Law Yim-Hing, Ma Ying, Go Chiu, Kwok Sau-Zhen, Ko Ying-Wan, Ko Lo-Chuen, Ku Ji-Chau, Lee Pang-Fei "
Thirteen Heroes with Seven Swords (Part 4),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Ku Wen-Chung ,"Walter Tso Tat-Wah, Law Yim-Hing, Ma Ying, Lau Kwai-Hong "
Thirteen Heroes with Seven Swords (Part 5),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1950,martial arts,Ng Man-Chiu ,"Walter Tso Tat-Wah, Law Yim-Hing, Ma Ying, Kwok Sau-Zhen, Siu Kwan-Lun "
