country,director,genre,poster,release_year,starring,title
Hong Kong,Tang Tak-Cheung ,martial arts,https://en.hkcinema.ru/foto/adcac3ba.jpg,1983,"Chin Siu-Ho, Kara Hui Ying-Hung, Kei Kong-Hung, Phillip Kwok Chun-Fung, Lung Tien-Hsiang, Jason Pai Piao, Hau Bing-Ying, Kwan Fung ",Demon of the Lute
Taiwan,"Ho Meng-Hua, Yu Cheng-Chun ",martial arts,https://en.hkcinema.ru/foto/7d6c786b.jpg,1979,"Cliff Lok, Peter Chan Lung, Lee Hoi-Sang, Simon Yuen Siu-Tin, Chiang Tao, Cheung Hei, Cheng Kang-Yeh, Wang Han-Chen, Lau Yat-Fan ",Mad Mad Kung Fu
Taiwan,"Cheng Kang, Shen Chiang, Lo Wei, Chang Tseng-Chai, Wong Sing-Loy ","martial arts, drama, historical",https://en.hkcinema.ru/foto/4c4ba76c.jpg,1979,"Polly Shang-Kuan Ling-Feng, Gua Ah-Lei, Lo Lieh, Kam Kong, Miao Tian, Chi Kuan-Chun, Mang Fei, James Tin Chuen, Hsieh Han, O Chun-Hung ",Immortal Warriors
China,Ronny Yu Yan-Tai ,martial arts,https://en.hkcinema.ru/foto/b1beffca.jpg,2006,"Jet Li Lian-Jie, Betty Sun Li, Dong Yong, Nakamura Shidou, Nathan Jones, Ngai Sing, Nina Pau Hei-Ching, Byron Pang Kun-Kei, Brandon Rhea ",Fearless
Taiwan,Hou Cheng ,martial arts,https://en.hkcinema.ru/foto/39cd3fcf.jpg,1977,"Polly Shang-Kuan Ling-Feng, Chia Ling, Don Wong Tao, Yuen Si-Wo, Wen Chiang-Long, Kam Kong, Sze-Ma Lung, Lung Suen, Elsa Yeung Wai-San ",The Fight for Shaolin Tamo Mystique
Taiwan,Chan Hung-Man ,martial arts,https://en.hkcinema.ru/foto/79386d1a.jpg,1969,"Tien Yeh, Ko Hsiang-Ting, Got Siu-Bo, Tso Yen-Yung, Wei Su, Wen Yi-Min, Chen Kuo-Chun, Wong Yu, Chow Siu-Hing, Hsieh Han, Li Min-Lang ",A Valiant Villain
Hong Kong,Chan Lit-Ban ,martial arts,https://en.hkcinema.ru/foto/d72956d8.jpg,1969,"Law Oi-Seung, Kong Man-Sing, Tina Ti Na, Lee Kui-On, Yam Yin, Tam Sin-Hung, Stanley Fung Sui-Fan, Ling Mung, Fung Ngai, Gu Sam-Lam ",The Fragrant Sword
Taiwan,Li Su ,martial arts,https://en.hkcinema.ru/foto/5fc551fe.jpg,1970,"Cheung Ching-Ching, Yee Yuen, Ho Yu-Hua, An Ping, Su Chen-Ping, Min Min, Wong Fei-Lung, Ko Yu-Min, Wei Su, Wong Fei, Lee Kui-On ",The Cruelty Goddess
China,Yao Shou-Gang ,"drama, action, martial arts",https://en.hkcinema.ru/foto/595e964dd4076.jpg,1990,"Yue Hoi, Li Dian-Fang, Zhou Jun, Gao Yun, Lv Xiang-Dong, Zhang Long, Han Jun-Xia ",The Super Reverend Monk
Taiwan,Chan Lit-Ban ,martial arts,https://en.hkcinema.ru/foto/b0eed3bf.jpg,1972,"Tien Peng, Lisa Chiao Chiao, Yee Yuen, Cindy Tang Hsin, Tien Yeh, Su Chen-Ping, Tin Mung, Tsai Hung, Chiang Tao, Lan Yun, Shan Mao, Wong Fei-Lung ",The Boxers
Hong Kong,Wang Ning-Sheng ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1970,"James Nam Gung-Fan, Ma Kei, Chang Chi-Yu, Sun Yueh, Hsieh Han, Yu Heng, Fai Wan, Cho Boot-Lam, Liu Chik, Cheung Ching-Fung, Dan Yang ",The Ill Wind
China,Ju Ting ,"drama, historical, martial arts",https://en.hkcinema.ru/foto/5cbe7b7fa62a9.jpg,2019,"Joseph Wei Guan-Nan, Zhang Xin-Yu, Zhao Jing, Qin Chu-Ming, Edword Meng Fei, Qi Pei-Xin, Wang Zi-Xu, Xuan Xiao-Tian, Bai Li-Wei ",Brotherhood of Blades
China,Lu Yang ,"action, martial arts, historical, drama",https://en.hkcinema.ru/foto/59af8dcb4a06b.jpg,2017,"Chang Chen, Yang Mi, Zhang Yi, Lei Jia-Yin, Xin Zhilei, Li Yuan, Chin Shih-Chieh, Liu Duan-Duan, Liu Feng-Chao, Yang Yi, Mickey Yuan Wen-Kang ",Brotherhood of Blades 2
China,Wong Jing ,"martial arts, fantasy",https://en.hkcinema.ru/foto/55509ae376dde.jpg,2011,"Danny Chan Kwok-Kwan, Alex Fong Lik-Sun, Athena Chu Yun, Andrew Wu Qing-Zhe, Zheng Xiao-Dong, Cherrie Ying Choi-Yi, Tian Lei-Xi, Chan Chi-Hung ",Twin of Brothers
China,,"martial arts, drama",https://en.hkcinema.ru/foto/sp_53a89978d857f.jpg,2004,"Nicky Wu Chi-Lung, Ma Ya-Shu, Alex To Kong ",Iron Fisted Drifter
Hong Kong,Gu Sam-Lam ,martial arts,https://en.hkcinema.ru/foto/09563b00.jpg,1970,"Pat Ting Hung, Paul Chun Pui, Fong Lung, Kang Wei, Kong Man-Sing, Yau Lee, Lin Jing, Yam Ho, Chan Ho, Kim Chil-Seong, Fung Ngai ",Quick Swordsman
China,Hou Xiao-Ming ,"action, martial arts",https://en.hkcinema.ru/foto/5863516f39306.jpg,2016,"Hou Xiao-Ming, Zhou Peng, Wang Yi-Bo, Lao Hei, Mou Yi, Gao Wei-Hua, Zhang Di-Ming, Li Yun-Qing, Zhang Yi, Lv Long, Feng Wu-Sheng ",Looking for Chinese Kung Fu
Taiwan,Wang Yin ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Wang Yin, Han Hsiang-Chin, Pai Chia-Li, David Tang Wei, Ma Kei, Ko Hsiang-Ting, Cho Kin, Han Chiang, Seung-Goon Leung ",The Great Boxer
Hong Kong,Chang Cheh ,martial arts,https://en.hkcinema.ru/foto/b349bd14.jpg,1986,"Chui Siu-Kin, Du Yu-Ming, Dung Chi-Wa, Lau Lai-Gwan, Suen Yee-Man, Muk Lap-San, Lok Woon-Yau, Ku Wing-Chuen, Wang Xiang-Wei, Fan Dung-Yue ",Great Shanghai 1937
Hong Kong,Ling Yun ,martial arts,https://en.hkcinema.ru/foto/ee265216.jpg,1961,"Lam Ka-Sing, Lam Fung, Chan Ho-Kau, Lam Kau, Josephine Siao Fong-Fong, Chan Wai-Yue, Lok Gung, Siu San-Kuen, Lau Hak-Suen, Pang Pang ",Public Spirited Lovers (Part 1)
South Korea,Lee Doo-Yong ,martial arts,https://en.hkcinema.ru/foto/063af1e6.jpg,1974,"Charles Han Yong-Cheol, Kim Mun-Ju, Bae Su-Cheon, Im Jae-Seon, Min Se-Hong, Kim Young-In, Kim Wang-Kuk, Park Dong-Yong, Hwang In-Cheol ",Returned Single-Legged Man 2
Hong Kong,,"martial arts, animation",https://en.hkcinema.ru/foto/4b610250.jpg,2005,"Tiger Fu Yin, Chen Yue-Hu ",The Warrior
Hong Kong,Ng Wui ,martial arts,https://en.hkcinema.ru/foto/512f75a5.jpg,1968,"Suet Nei, Kenneth Tsang Kong, Cheung Yee, Tina Ti Na, Fong Wah, Gam Lui, Wong Hak, Fung Ging-Man, Tang Ti, Lai Man ",The Magic Bow
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/909780bc.jpg,1956,"Kwan Tak-Hing, Sek Kin, Yam Yin, Lam Kau, Liu Chia-Liang, Lau Cham, Lee Pang-Fei ",Wong Fei-Hung Wins the Dragon Boat Race
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/20e6558a.jpg,1957,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Lam Kau, Lau Cham, Sai Gwa-Pau, Lee Heung-Kam, Chow Chung ",Wong Fei-Hung's Rival for a Pearl
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/5d6ea139.jpg,1955,"Kwan Tak-Hing, Walter Tso Tat-Wah, Cheng Pik-Ying, Lau Cham, So Siu-Tong, Ho Siu-Hung, Sek Kin, Lai Man, Lee Pang-Fei, Ng Yan-Chi ",Wong Fei-Hung's Rival for the Fireworks
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1967,"Kwan Tak-Hing, Kenneth Tsang Kong, Lee Hung, Sek Kin, Lau Ching, Sai Gwa-Pau, Lok Gung, Simon Yuen Siu-Tin, Chan Fung-Ching ",Wong Fei-Hung Against the Ruffians
Hong Kong,Kwan Kwok-Wai ,"martial arts, comedy, romance",https://en.hkcinema.ru/foto/f495e3f6.jpg,2005,"Bosco Wong Chung-Chak, David Chiang Da-Wei, Yang Wan-I, Sammuel Chan Kin-Fung, Kenneth Ma Kwok-Ming, Rain Li Choi-Wah, Chan Kwok-Bong ",Wong Fei Hung - Master of Kung Fu
China,Wang Yi ,martial arts,https://en.hkcinema.ru/foto/5b725210.jpg,1987,"Dong Hong-Lin, Lee Jun-Fung, Wang Li-Sha, Han Hai-Hua, Xu Song-Yuan, Fu Xia-Xing, Xing Ji-Zhou, Zang Zhi-Guo, Song Wen-Hua ",Baling Thief
Taiwan,Gwan Jing-Leung ,martial arts,https://en.hkcinema.ru/foto/bcd46a6f.jpg,1968,"Paul Chang Chung, Lui Ming, Fanny Fan Lai, Chang Mei-Yao, Angela Mao Ying, Chin Li-Sheng, Lee Ying, Chang I-Fei, Yu Chung-Chiu ",Eight Robbers
China,"Chen Bao-Wen, Yi Qing-Cheng ","romance, martial arts",https://en.hkcinema.ru/foto/90e3384d3e2803c16cc48465630a08dcdbn.jpg,2016,"Chen Qi-Jie, Crystal Yin Ling, He Gong-Xi, Ning Zi, Guo Jiu-Long, Chen Jian-Hua, Chen Yan-Lin, Dai Ming, Meng Yi-Lin, Chang Tai ",Assassins Memories
Hong Kong,Wilson Yip Wai-Shun ,martial arts,https://en.hkcinema.ru/foto/31a6b868.jpg,2006,"Donnie Yen Ji-Dan, Nicholas Tse Ting-Fung, Shawn Yu Man-Lok, Vincent Sze, Li Xiao-Ran, Xing Yu, Chen Kuan-Tai, Angel Dong Jie, Yu Kang ",Dragon Tiger Gate
Hong Kong,Liu Chia-Liang ,martial arts,https://en.hkcinema.ru/foto/527a54e8.jpg,1976,"Gordon Liu Chia-Hui, Chen Kuan-Tai, Kong Yeung, Lau Kar-Wing, Lily Li Li-Li, Liu Chia-Liang, Ricky Hui Koon-Ying, Wilson Tong Wai-Shing ",Challenge of the Masters
Taiwan,Yeung Siu ,martial arts,https://en.hkcinema.ru/foto/a073d182.jpg,1969,"Chin Ho, Shih Chun, Julie Lee Chi-Lun, Fong Yue, Lui Ming, Fan Wai, Lee Hung, Hou Hsiao-Ti, Tieh Meng-Chiu, Tai Leung ",A Thrust with a Sword
Hong Kong,Wilson Tong Wai-Shing ,martial arts,https://en.hkcinema.ru/foto/628304bd.jpg,1979,"Cliff Lok, Hsiao Ho, Wilson Tong Wai-Shing, Lee Hoi-Sang, Peter Chan Lung, Cheng Kang-Yeh, Wong Yat-Fei, King Lee King-Chu, Lam Hak-Ming ",Kung Fu Genius
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/00fa30fd.jpg,1961,"Law Yim-Hing, Lam Ka-Sing, Mak Bing-Wing, Chan Ho-Kau, Shum Kwok-Lai, Poon Yat-On, Yue Ming, Ling Mung, Leung Suk-Hing, Lee Sau-Kei ",Heroes of the Chaste Ages
Taiwan,Liu Wei-Bin ,"action, martial arts",https://en.hkcinema.ru/foto/nofoto.gif,1972,"Ou Wei, Tinny Ng Sau-Fong, Miao Tian, Kai Pao-Yu, Tsui Fu-Sheng, Got Siu-Bo, Seung-Goon Leung, Tsang Ming-Cheong, Cho Boot-Lam, Au Lap-Bo ",Heroine in the Dust
Hong Kong,Yeung Kong ,martial arts,https://en.hkcinema.ru/foto/c71ea25e.jpg,1961,"Law Yim-Hing, Walter Tso Tat-Wah, Lam Kau, Sek Kin, Ma Siu-Ying, Ho Siu-Hung, Yeung Yip-Wang, Hui Ying-Ying ",Heroine with a Red Scarf
Hong Kong,Corey Yuen Kwai ,martial arts,https://en.hkcinema.ru/foto/9978868d.jpg,1997,"Kaneshiro Takeshi, Yuen Biao, Valerie Chow Kar-Ling, Jessica Hester, Yuen Wah, Corey Yuen Kwai, Yuen Tak ",Hero
Taiwan,Yang Tao ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1974,"Barry Chan, Hau Yee, Cho Kin, Chen Qiang, Wu Liang-Ping ",Dang Kou Hero
China,Yu Lian-Qi ,martial arts,https://en.hkcinema.ru/foto/1ce27451.jpg,1985,"Wang Xiao-Zhong, Ki Kei-Lun, Chiu Cheung-Gwan, Ge Chun-Yan, Ma Zhen-Bang, Wang Hua, Chiu Chi-Kong, Dong Hong-Lin, Su Wen-Ling ",Kung Fu Hero Wang Wu
Hong Kong,Leung Fung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"So Siu-Tong, Leung Sing-Bo, Yu So-Chau, Josephine Siao Fong-Fong, Lee Heung-Kam, Lau Hak-Suen, Yam Yin, Mui Yan, Yeung Yip-Wang, Lai Man ",Hero of the Twin Swords and the Magic Whip
South Korea,Kim Jung-Yong ,martial arts,https://en.hkcinema.ru/foto/5f2ec260.jpg,1983,"Elton Chong, Mike Wong Lung, Jin Nu-Ri, Guk Ching-Woon, Kim Wuk, Jang Cheol, Kim Won-cheol, Park Wan-Su, No Wan-Rae, Choi Ha-Seob, Joo Ki-Won ",The Undertaker in Sohwa Province
China,Mei Xue-Chou ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1928,Yan Gong-Shang ,Spiders Group
Hong Kong,Chang Cheh ,martial arts,https://en.hkcinema.ru/foto/d9da03fd.jpg,1980,"Lo Meng, Lu Feng, Chiang Sheng, Wong Lik, Sun Chien, Chin Siu-Ho, Wong Kar-Leung, Wong Kung-Miu, Candy Wen Xue-Er, Lai Yau-Hing ",Two Champions of Shaolin
Hong Kong,Cheung Sum ,martial arts,https://en.hkcinema.ru/foto/189c6b08.jpg,1978,"Pomson Shi, So Dik-Na, Wong Oi-Lin, Liu Hok-Ming, Cheung Chok-Chow, Law Bei, Chan Tik, Lee Chi-Hing, Lee Chun-Wa, Lam Hak-Ming, Tai San ",Two in Black Belt
Taiwan,Yang Shih-Ching ,martial arts,https://en.hkcinema.ru/foto/404096b7.jpg,1972,"Polly Shang-Kuan Ling-Feng, Tien Peng, Ko Hsiang-Ting, Chiu Ting, Lui Ming, Got Siu-Bo, Cho Kin, Chan Wai-Lau, Wan Chung-Shan ",A Girl Fighter
Hong Kong,Ku Wen-Chung ,"martial arts, fantasy",https://en.hkcinema.ru/foto/nofoto.gif,1950,"Law Yim-Hing, Lam Kau, Siu Kwan-Lun, Lau Kwai-Hong ",Kunlun Girls Spies on Motian Peak at Night
Taiwan,Chang Peng-I ,martial arts,https://en.hkcinema.ru/foto/9dc85507.jpg,1979,"Shih Szu, Chi Kuan-Chun, Tin Hok, Lily Li Li-Li, Chung Wah, Ko Keung, Addy Sung Gam-Loi, Phillip Ko Fei, Shut Chung-Tin, Lung Suen ",Relentless Broken Blade
Taiwan,Yeh Ching-Hui ,"action, martial arts",https://en.hkcinema.ru/foto/e11c4ee1.jpg,1997,"Lee Law, Kara Hui Ying-Hung, Lam Wai, Ku Feng, Dick Wei, Tai Bo, Chiang Tao, Billy Chow Bei-Lei, Hung Fung, Ma Cheung, Wong Yiu ",Crazy Mission
Hong Kong,Wong Fung ,martial arts,https://en.hkcinema.ru/foto/ef42021b.jpg,1968,"Petrina Fung Bo-Bo, Lee Hung, Cheung Ying-Tsoi, Paul Chu Kong, Cheng Kwun-Min, Sek Kin, Siu Gam, Simon Yuen Siu-Tin, Sai Gwa-Pau ",The White Dragon
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/348fd93d.jpg,1961,"Walter Tso Tat-Wah, Yu So-Chau, Connie Chan Po-Chu, Josephine Siao Fong-Fong, Sek Kin, Hu Hung-Yen, Sai Gwa-Pau, Simon Yuen Siu-Tin ",Combat Between Seven Swords and Five Dragons
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/715631e4.jpg,1952,"Walter Tso Tat-Wah, Lam Kau, Law Yim-Hing, Sek Kin, Wong Sau-Nin, Go Chiu, Ko Lo-Chuen, Lee Keng-Ching, Liu Chi-Wai, Ting Ling ",Huang Feihong's Battle in Furong Valley
China,"Zhu Shao-Jie, Zhou Yuan-Zhou, Roger Lau Kwok-Fai, Grammy Chu Yui-Bun ","fantasy, historical, martial arts",https://en.hkcinema.ru/foto/1074ebf2ebb95e4ebdb883b7cdf27d81dbn.jpg,2016,"Li Yi-Feng, Zhao Li-Ying, Yang Zi, Roy Wang Yuan, Karry Wang Jun-Kai, Jackson Yi, Xiong Nai-Jin, Ho Chung-Wa, Tina Tang Yi-Xin ",Noble Aspirations
Hong Kong,Chui Dai-Chuen ,martial arts,https://en.hkcinema.ru/foto/39b22a0e.jpg,1974,"Michael Chan Wai-Man, Woo Gam, John Cheung Ng-Long, Hao Li-Jen, Charlie Chan Yiu-Lam, Cheng Kang-Yeh, Lee Ka-Ting, Pai Ying, Simon Yuen Siu-Tin ",Martial Arts
Hong Kong,Yeung Kung-Leung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1954,"Kwan Tak-Hing, Law Yim-Hing, Ho King-Fan, Ho Fei-Fan, Cheng Pik-Ying, Sek Kin, Lam Siu, Lau Cham ",The Boxer of Nanhai
Hong Kong,Ku Wen-Chung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1949,"Lo Ban-Chiu, Law Yim-Hing, Chui Ji-Chiu, Lam Ka-Sing, Siu Kwan-Lun, Wong Chiu-Chuen, Sek Kin, Ha Wa, Lam Siu, Chan Biu ",Hong Xiguan's Big Brawl at Liu Village
Taiwan,"Sung Ting-Mei, Sun Sheng-Yuan ",martial arts,https://en.hkcinema.ru/foto/338ca6b4.jpg,1972,"Tien Peng, Cheung Ching-Ching, Yee Yuen, Cheng Fu-Hung, Tsai Hung, Hong Hoi, Jack Lung Sai-Ga, Hsieh Hsing, Melvin Cheung Wan-Man ",The Big Fight
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1954,"Kwan Tak-Hing, Lai Yee, Cheng Wai-Sum, Mok Wan-Ha ",Brother in Bloodshed
Hong Kong,Johnnie To Kei-Fung ,martial arts,https://en.hkcinema.ru/foto/eac5c4ac.jpg,2004,"Aaron Kwok Fu-Sing, Louis Koo Tin-Lok, Cherrie Ying Choi-Yi, Tony Leung Ka-Fai, Eddie Cheung Siu-Fai, Jack Kao Kuo-Hsin, Jimmy Wong Wa-Wo ",Throw Down
Taiwan,Liu Hung-Sheng ,martial arts,https://en.hkcinema.ru/foto/5c75a7d4.jpg,1974,"Yuen Si-Wo, Lee Keung, Cho Kin, Li Yi-Min, Lung Fei, Sun Yueh, Ko Fei, Chiang Sheng, Poon Cheung-Ming, Chang Yi-Kuai, Lu Bi-Yun ",Bruce Takes Dragon Town
Hong Kong,Yeung Kung-Leung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1964,"Yu So-Chau, Lam Ka-Sing, Lee Hung, Connie Chan Po-Chu, Sek Kin, Tong Yeuk-Ching, Hung Bo, Yeung Yip-Wang, Ling Mung, Lee Pang-Fei ","White-boned Pin, The (Part 1)"
Hong Kong,Chang Shu-Shang ,martial arts,https://en.hkcinema.ru/foto/0c9d2fbd.jpg,1970,"Cindy Tang Hsin, Kong San, Lee Fung-Lan, Kam Shan, Lau Dan, Chung Yau, Chai Lin-Fui, Lee Man-Chow, Lin Da-Wei, Chen Fu-Ching ",The Great Plot
Taiwan,Gam Sek ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1974,"Weng Hsiao-Hu, Cheng Chung-Daat, Chen Jen-Lei, Chang Feng, Gam Sek, Kon Tak-Mun, Seung-Goon Leung, Hung Lau, Yau Jan-Kong, Han Chiang ",The Great Chinese Boxer
Hong Kong,Yuen Wo-Ping ,martial arts,https://en.hkcinema.ru/foto/d75791b3.jpg,1979,"Sammo Hung Kam-Bo, Kwan Tak-Hing, Lee Hoi-Sang, Fan Mei-Sheng, Fung Hak-On, Brandy Yuen Jan-Yeung, Wai Pak, JoJo Chan Kei-Kei, Ka Lee ",The Magnificent Butcher
Taiwan,Li Chao-Yung ,martial arts,https://en.hkcinema.ru/foto/b24298c3.jpg,1979,"Mang Fei, Doris Lung Chun-Erh, Nancy Yen Nan-See, Yun Chung-Yueh, Sun Yueh, Chiang Ming, Lee Keung, Wong Bo-Yuk, Zhou Rui-Fang ",Everlasting Chivalry
China,Tian Xing-Jie ,"martial arts, drama",https://en.hkcinema.ru/foto/592e2dba337e5.jpg,2017,"Zhu Yong, Tian Xing-Jie, Xiao Wan, Zhao Dang-Wei, Ceng Ling-Na, Xu Qing-Qing, Li Hao-Lin, Liu Qing-Yi, Zhou You Jing-Hao ",Wing Chun
China,Yeung Gat-Aau ,martial arts,https://en.hkcinema.ru/foto/33fa1040.jpg,1985,"Gwok Leung, Lau Hak-Ming, Chang Sao-Chen, Li Bing, Chui Ngai, Yang Feng-Yi, Hong Tao, Wang De-Lin, Yang Yi-Hong, Wan Jin-Jie ",Out of Danger
Hong Kong,Taylor Wong Tai-Loi ,martial arts,https://en.hkcinema.ru/foto/7d54b89c.jpg,1981,"Norman Chu Siu-Keung, Flora Cheung Tin-Oi, David Chiang Da-Wei, Sharon Yeung Pan-Pan, Kurata Yasuaki, Hwang Jang-Lee, Lo Lieh, Bruce Leung Siu-Lung ",Return of the Deadly Blade
Hong Kong,Ling Yun ,martial arts,https://en.hkcinema.ru/foto/ef647326.jpg,1968,"Suet Nei, Kenneth Tsang Kong, Sek Kin, Ko Lo-Chuen, Tang Ti, Ma Chiu-Tse, Yung Yuk-Yi, Gu Sam-Lam ",Buddhist Spiritual Palm Returned
Taiwan,Jimmy Shaw Feng ,martial arts,https://en.hkcinema.ru/foto/cd8d42a8.jpg,1977,"Bruce Li Shao-Lung, Paul Smith, Chang Yu, Angela Mao Ying, Blacky Ko Sau-Leung, Wong Wing-Sang, Lung Fei, Hsieh Han, Hsieh Hsing ",Return of the Tiger
China,Xuan Zi ,"action, martial arts, historical",https://en.hkcinema.ru/foto/5bea3bb69e24a.jpg,2018,"Lei Cheng-Kun, Li Jiang, Nancy Zhang Nan, Vivian Chan Wai-Man, Yin Ze-Qiang, Wu Yu-Wen, Zhang Yong-Kang, Duan Fu-Chao, Wang Zhi-Qiang ",Desert Warrior
Hong Kong,"Gam Kim, Lee Ga-Chi ",martial arts,https://en.hkcinema.ru/foto/479ac19b.jpg,1978,"Ling Yun, Barry Chan, Pai Ying, Nancy Yen Nan-See, Liu Ping, Hsieh Han, Yeung Sau-Guen, Chiang Ching-Hsia, Siu Gam, Miao Tian ",Militant Eagle
Hong Kong,Lee Fa ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Pearl Au Ka-Wai, Leung Sing-Bo, Tam Lan-Hing, Cheng Kwun-Min, Tang Kei-Chan, Ling Mung, Sai Gwa-Pau, Lam Kau, Sze-Ma Wah-Lung, Siu Hon-Sang ","Swordswoman and Her 7 Partners, The (Part 2)"
Taiwan,Chow Ming ,martial arts,https://en.hkcinema.ru/foto/87fd844b.jpg,1971,"Wong Jun, Chow Wai, Kong Kei, Fong Yeung, Lam Fung-Sing, Chow Wai, Cheung Gwan, He Ping, Cui Xin, Shang Qi ",The Magic Palm
Hong Kong,Chor Yuen ,martial arts,https://en.hkcinema.ru/foto/fa88f581.jpg,1976,"Ti Lung, Lo Lieh, Ching Li, Tang Ching, Tanny Tien Ni, Lily Li Li-Li, Fan Mei-Sheng, Ku Feng, Norman Chu Siu-Keung, Lau Wai-Ling ",The Magic Blade
China,"Richard Leung Kok-Koon, Lee Wing-Fai ","comedy, drama, martial arts",https://en.hkcinema.ru/foto/5d66634054d20.jpg,2016,"Sunday Jiang Long, Dai Wen-Wen, Jamie Zhang Xin-Ying, Liu Shuai, Law Kar-Ying, Choi Seong-Guk, Yuan Bai Zi-Hui, Natalie Meng Yao ",Big Man Sunday
Hong Kong,,"action, martial arts",https://en.hkcinema.ru/foto/2671df13.jpg,1987,"Wayne Archer, Stuart Smith, Chiang Tao, Sun Chien, Sorapong Chatree ",Golden Ninja Invasion
Hong Kong,Wu Pang ,"martial arts, drama, historical",https://en.hkcinema.ru/foto/8a6d2109.jpg,1956,"Kwan Tak-Hing, Walter Tso Tat-Wah, Mui Chun, Sek Kin, Yam Yin, Wan Chuen, Koo Tin-Ng, Lau Cham, Liu Chia-Liang, Ng Yan-Chi ",The White Crane Heroes
Hong Kong,Chang Cheh ,martial arts,https://en.hkcinema.ru/foto/3d55ddbb.jpg,1974,"Alexander Fu Sheng, Chu Mu, Chen Kuan-Tai, Bruce Tong Yim-Chaan, Wong Ching, Tino Wong Cheung, Wu Chi-Chin, Fong Sam, Fung Ngai, Fung Hak-On ",Heroes Two
Hong Kong,Fung Chi-Kong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1952,"Sek Yin-Tsi, Yu So-Chau, Ha Wa, Lee Pang-Fei, Wong Sun-Nam, Lam Kau, Lam Kar-Yee, Yeung Yip-Wang, Simon Yuen Siu-Tin, Lee Ngan ",A Heroine from Emei Mountain
Hong Kong,,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1953,"Walter Tso Tat-Wah, Yu So-Chau, Sek Kin, Go Chiu ",Hero of Deserted River
China,,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1927,Fan Xue-Peng ,Hero and Heroine
Taiwan,Pao Hsueh-Li ,martial arts,https://en.hkcinema.ru/foto/31a4fea8.jpg,1977,"Chen Kuan-Tai, Chiang Tao, Cheng Kang-Yeh, Sally Chen Sha-Li, Woo Gam, Shut Chung-Tin, Han Chiang, Kam Kong, Ma Kei, Tien Yeh ",Layout
Hong Kong,Griffin Yueh Feng ,martial arts,https://en.hkcinema.ru/foto/cab35fe0.jpg,1972,"Yeung Wai, Tina Chin Fei, Eddy Ko Hung, Tong Tin-Hei, Lee Man-Tai, Chiang Nan, Lee Hon-Shing, Chui Ga-Lam, Lee Fung-Lan, Lan Wei-Lieh ",Martial Hero
Hong Kong,Hsieh Kuang-Nan ,martial arts,https://en.hkcinema.ru/foto/abd80814.jpg,1979,"Chung Wah, Dorian Tan Tao-Liang, Woo Gam, Sally Chen Sha-Li, Lung Fei, Melvin Cheung Wan-Man, Chan Sing, Cheung Bo-Sin, Tsou Chung-I ",Hero of the Time
Hong Kong,,"martial arts, historical",https://en.hkcinema.ru/foto/nofoto.gif,1999,"Vincent Zhao Wen-Zhuo, Leanne Lau Suet-Wah, May Phua, Yvonne Lim Xiang-Ping ",Hero of the Times
Hong Kong,Go Sin-Ming ,martial arts,https://en.hkcinema.ru/foto/56222ce63ecd7.jpg,1994,"Kara Hui Ying-Hung, Cheng Pei-Pei, Melvin Wong Gam-San, Robert Mak Tak-Law, Kingdom Yuen King-Tan, Dickson Lee Ga-Sing, Sze Kai-Keung ",Kung Fu Mistress
Taiwan,Joseph Siu Yiu ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1982,"Bao Zheng-Fang, Sam Chung-Chuen, Thomas Hong Chiu-Ming, Chang Chung-Kui, Ga Hoi, Yuen Sam, Chang Ping-Ping ",Two Crippled Heroes
Taiwan,Wang Hung-Chang ,martial arts,https://en.hkcinema.ru/foto/b32eefd6.jpg,1973,"Polly Shang-Kuan Ling-Feng, Kurata Yasuaki, Kam Kong, Shan Mao, Cheng Fu-Hung, Blacky Ko Sau-Leung, Lung Fong, Min Min, Sham Chin-Bo ",A Girl Called Tigress
