country,director,genre,poster,release_year,starring,title
Taiwan,Tyrone Hsu Tien-Yung ,martial arts,https://en.hkcinema.ru/foto/25eb7aa9.jpg,1978,"Polly Shang-Kuan Ling-Feng, Lo Lieh, Yueh Hua, Wong Chi-Sang, Woo Gam, Yip Fei-Yang, Lau Yau-Bun, Lung Tien-Hsiang, Poon Cheung-Ming ",Lung Wei Village
Taiwan,Chang Fang-Hsia ,martial arts,https://en.hkcinema.ru/foto/a2f25718.jpg,1969,"Chiang Kuang-Chao, Sham Suet-Chun, Richard Chan Chun, Wong Yung, Cho Kin, Wang Sun, Ko Yu-Min, Ng Ho, Lui Jun, Yen Chung ",The Absurd Brave
Hong Kong,Lee Lik-Chi ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1986,"Wong Yu, Candice Yu On-On, Charlie Cho Cha-Lee, Ng Gong, Law Lok-Lam, Jaclyn Chu Wai-San, Ma Lai-Lee, Cheng Lui, Baau Hon-Lam, Lai Suen ",The Adventurers
China,Lin Zhen-Zhao ,"martial arts, action, drama, comedy, historical",https://en.hkcinema.ru/foto/5bc5a1eb250a8.jpg,2018,"Vincent Zhao Wen-Zhuo, Michael Tong Man-Lung, Wei Ni, Xu Zheng-Guo, Li Bing-Yuan, Wei Xiao-Huan, Li Bu-Bing, Chen Chen, Dan Ni-Si ",The Unity Of Heroes
South Korea,Choe U-Hyeong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1983,"Lee Joi-Wing, Jin Nu-Ri, Martin Chui Man-Kwai, Mike Wong Lung, Yoon Il-Ju, Kim Wuk, Jang Cheol, Kim Ki-Hong, Kim Won-cheol, Park Wan-Su ",Blue Butterfly the Amazon
Hong Kong,Jingle Ma Choh-Shing ,"martial arts, romance",https://en.hkcinema.ru/foto/6e172a4f.jpg,2008,"Charlene Choi Cheuk-Yin, Wu Chun, Hu Ge, Shao Bing, Bonnie Sin Sik-Lai, Wan Qian, Wei Yi-Bo, Jerry Yuan Cheng-Jie, Fan Siu-Wong, Xiong Xin-Xin ",Butterfly Lovers
Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/6de5b200.jpg,1959,"Kwan Tak-Hing, Walter Tso Tat-Wah, Sek Kin, Yam Yin, Yam Tai-Goon, Gam Lau, Ng Yan-Chi, Chow Chung, Wong Hak, Lai Man ",The Rascal He on Fire
Hong Kong,Lung To ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1962,"Yu Kai, Cheng Pik-Ying, Lam Yim, Mui Yan, Yam Yin, Ho Siu-Hung, Cheung Sang, Lau Hak-Suen, Yam Tai-Goon, Ng Ming-Choi, Sammo Hung Kam-Bo ",The 7 Tyrants of Jiangnan
China,Corey Yuen Kwai ,"action, martial arts",https://en.hkcinema.ru/foto/8929dae5.jpg,2006,"Jaime Pressly, Devon Aoki, Holly Valance, Sarah Carter, Natassia Malthe, Kane Kosugi, Ngai Sing, Eric Roberts, Silvio Simac, Derek Boyer ",DOA: Dead or Alive
Hong Kong,Wong Tin-Lam ,martial arts,https://en.hkcinema.ru/foto/c73ab22d.jpg,1961,"Helen Li Mei, Chang Yang, So Fung, Wang Lai, Liu En-Jia, Ou-Yang Sha-Fei, Wu Chia-Hsiang, Chiang Kuang-Chao, Lee Ying, Chen Yu-Hsin ",Venture of the Lady Musketeer
Hong Kong,Wong Hok-Sing ,martial arts,https://en.hkcinema.ru/foto/03e358c5.jpg,1961,"Sun-Ma Sze-Tsang, Yu Lai-Zhen, Poon Yat-On, Lee Heung-Kam, Lau Hak-Suen, Connie Chan Po-Chu, Yuen Lap-Cheung, Ling Mung, Cheung Sing-Fei ",Crimson Girl
USA,Lucas Lowe ,"action, martial arts",https://en.hkcinema.ru/foto/4f03385e.jpg,1991,"Reese Madigan, Daniel Dae Kim, Billy Chang, Cliff Lenderman, Henry O., Michael Depasquale Jr., Trent Bushey, Kong Miu-Deng, Kwan Yung ",American Shaolin
Taiwan,Chan Hung-Man ,martial arts,https://en.hkcinema.ru/foto/994ac528.jpg,1980,"Lee Hoi-Hing, Wong Wing-Sang, Wong Chi-Sang, Got Siu-Bo, Mau Ging-Shun, Poon Cheung-Ming, Ricky Cheng Tien-Chi, Hsiao Hou-Tao, Wu Te-Shan ",18 Secrets of Kung Fu
Taiwan,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/58adfc83b1d90.jpg,1976,"Tien Peng, Carter Wong Ka-Tat, Polly Shang-Kuan Ling-Feng, Yee Yuen, Ko Yu-Min, Chiang Nan, Liu Ping, Chang Yu, Lu Bi-Yun, Kam Kong ",The 18 Bronzemen
Hong Kong,Cheung Git ,martial arts,https://en.hkcinema.ru/foto/ef2aa597.jpg,1978,"Polly Shang-Kuan Ling-Feng, Li Lung-Hua, Lo Lieh, Lung Fei, Chang Yu, Phillip Ko Fei, Chuen Yuen, Fang Fang, Tung Li, Chiang Ching-Hsia ",The Eighteen Jade Arhats
China,Wong Sing-Loy ,martial arts,https://en.hkcinema.ru/foto/3093595e.jpg,1985,"Lau Jan-Ling, Go Hung-Ping, Lee Tak-Shing, Hoh Fook-Sang, Wong Leung, Wong Hoi-Sang, Wong Chi-Wah, Li Li, Lok Woon-Yau, Liu Xiu-Ping ",Arhats in Fury
Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/d23e8bee.jpg,1978,"Jackie Chan, James Tin Chuen, Dean Shek Tin, Lee Kwan, Li Tong-Chun, Mo Man-Sau, Wang Kuang-Yu, Wong Ching, Wong Yiu ",Spiritual Kung Fu
Hong Kong,Law Chi-Hung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1950,"Fung Fung, Yip Ping, Lai Cheuk-Cheuk, Chan Tin-Chung, Wong San, Wong Cho-San, Ng Wui, To Sam-Ku, Fung Ying-Seung, Fung Ging-Man ",Bandits of the Water Margin
Hong Kong,Chen Chi-Hwa ,martial arts,https://en.hkcinema.ru/foto/96f7b314.jpg,1977,"Tony Leung Siu-Hung, Yen Shi-Kwan, Ku Feng, Lau Ga-Yung, Michelle Yim, Paul Chun Pui, Fung Hak-On, Jackie Chan, Ma Hon-Yuen, San Kuai, Chan Lau ",The 36 Crazy Fists
Hong Kong,Yan Jun ,martial arts,https://en.hkcinema.ru/foto/d49477c1.jpg,1962,"Li Li-Hua, Chao Lei ",Angel of the Wilderness
Hong Kong,"Wu Ma, Hsiung Ting-Wu, Chang Cheh ",martial arts,https://en.hkcinema.ru/foto/43a380bb.jpg,1976,"Alexander Fu Sheng, David Chiang Da-Wei, Ti Lung, Chi Kuan-Chun, Chen Kuan-Tai, Gordon Liu Chia-Hui, Johnny Wang Lung-Wei, Li Yi-Min ",Seven Man Army
Hong Kong,Daniel Lee Yan-Gong ,"martial arts, historical",https://en.hkcinema.ru/foto/bf050942.jpg,2010,"Donnie Yen Ji-Dan, Vicki Zhao Wei, Wu Ma, Kate Tsui Tsz-Shan, Law Kar-Ying, Sammo Hung Kam-Bo, Wu Chun, Fung Hak-On, Qi Yu-Wu, Chen Kuan-Tai ",14 Blades
Hong Kong,Gwan Jing-Leung ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Tanny Tien Ni, Lui Ming, Chan Kei, Han Chiang, Gwan Jing-Leung, Teng Jue-Jen, Lee Mei-Guen, Ching Wa, Tung Li, Cheung Kai ",Thirty-Six Sword Guards
Taiwan,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/8c741171.jpg,1978,"Li Yi-Min, Jack Lung Sai-Ga, Mark Lung Koon-Mo, Chin Yuet-Sang, Alan Chui Chung-San, Wang Fan, Wong Hoi, Eagle Lee Siu-Fei, Corey Yuen Kwai ",The 7 Grandmasters
Taiwan,Au-Yeung Wang ,martial arts,https://en.hkcinema.ru/foto/abb01ce1.jpg,1980,"Mang Fei, Chan Sing, Yueh Hua, Ha Ling-Ling, Yee Yuen, Yuen Sam, Lee Seung, Goo Chang, Gam Boh, Alan Lau Tak-Hoi, Chang Peng ",Bruce Tuan's 7 Promises
Hong Kong,Shin Sang-Ok ,"action, martial arts",https://en.hkcinema.ru/foto/420ce132.jpg,1971,"Angela Yu Chien, Shin Young-Kyun, Wang Hsieh ",The Bandits
Hong Kong,Chui Fat ,"martial arts, fantasy",https://en.hkcinema.ru/foto/c6339753.jpg,1993,"Waise Lee Chi-Hung, Cynthia Khan, Yen Shi-Kwan, Chung Fat, Wan Seung-Lam, Lau Ji-Wai, Anthony Cho Cheuk-Nin, Tin Ching, Ng Ting-Ko ",The 13 Cold-Blooded Eagles
Hong Kong,Siu Sang ,martial arts,https://en.hkcinema.ru/foto/592e59ca.jpg,1966,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Yung Yuk-Yi, Yam Bing-Yee, Lau Ching, Siu Chung-Kwan ","Infernal Gate, The (Part 1)"
Taiwan,Lin Fu-Ti ,martial arts,https://en.hkcinema.ru/foto/ed51ae8a.jpg,1977,"Chan Sing, Chia Ling, Lo Lieh, Don Wong Tao, Wen Chiang-Long, Chan Wai-Lau, Fan Dan-Fung, Cheung Ying, Liu Ping, Cheng Fu-Hung ",18 Swirling Riders
Hong Kong,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/c6800bec.jpg,1979,"Jack Lung Sai-Ga, Nick Cheung Lik, Hwang Jang-Lee, Jeannie Chang Yung-Yung, Yen Shi-Kwan, Mark Lung Koon-Mo, Mau Ging-Shun, Fan Mei-Sheng ",The 36 Deadly Styles
China,Marco Mak Chi-Sin ,"historical, martial arts",https://en.hkcinema.ru/foto/5c3430274ea21.jpg,2018,"Vincent Zhao Wen-Zhuo, Miya Mu-Qi, Li Bu-Bing, Wei Ni, Wei Xiao-Huan, Chen Chen, Gao Xuan-Ming, Sawada Kenya, Sang Wei-Lin, Zhang Ya-Kun ",Unity of Heroes 2
Hong Kong,Tony Liu Chun-Ku ,"martial arts, comedy",https://en.hkcinema.ru/foto/f910b138.jpg,1981,"Michelle Yim, Yuen Tak, Chen Kuan-Tai, Lam Sau-Kwan, Choh Seung-Wan, Wong Mei-Mei, Chu Tit-Wo, Austin Wai Tin-Chi, Ching Miao ",Ambitious Kung Fu Girl
Hong Kong,Wong Fung ,martial arts,https://en.hkcinema.ru/foto/458aeae0.jpg,1972,"Chang Yu, Woo Gam, Pai Ying, Sammo Hung Kam-Bo, Chin Yuet-Sang, Tin Mat, Yee Yuen, Chow Kong, Wilson Tong Wai-Shing, Cham Siu-Hung ",Bandits from Shantung
Taiwan,Lin Bing ,martial arts,https://en.hkcinema.ru/foto/90ce25d6.jpg,1978,"Pai Ying, Chan Sing, Barry Chan, Chung Wah, Lung Fei, Miao Tian, Hsieh Han, Tsai Hung, Yu Chung-Chiu, Siu Gam, Yeung Sau-Guen ",The 72 Desperate Rebels
Hong Kong,Kwong Yip-Sheng ,"science fiction, romance, comedy, martial arts",https://en.hkcinema.ru/foto/sp_53879e7ddd892.jpg,2009,"Roger Kwok Chun-On, Ho Chung-Wa, Jia Qing, Akina Hong Wah, Hugo Ng Doi-Yung, Sonija Kwok Sin-Nae, Nikita Mao, Shao Chuan-Yong, David Chen Da-Wei ",8 Avatar
Hong Kong,Chen Yu-Hsin ,martial arts,https://en.hkcinema.ru/foto/36e7224c.jpg,1964,"Ivy Ling Po, Chin Ping, Li Ching, Ching Miao, Tang Ti, Yiu Kwang-Chao, Chiang Kuang-Chao, Tien Feng, Chen Yan-Yan, Yip Ching ",The Crimson Palm
Hong Kong,Godfrey Ho Jeung-Keung ,martial arts,https://en.hkcinema.ru/foto/bf2c356e.jpg,1993,"Waise Lee Chi-Hung, Pauline Chan Bo-Lin, Oshima Yukari, Karel Wong Chi-Yeung, Wong Wan-Choi, Lam Chung, Robert Mak Tak-Law, Chiang Tao ",Angel the Kickboxer
Hong Kong,Wong Hok-Sing ,"martial arts, musical",https://en.hkcinema.ru/foto/e385d34c.jpg,1955,"Sun-Ma Sze-Tsang, Lam Kau, Lee Pang-Fei, Lee Hoi-Chuen, Mui Yee, Choi Zhen-Chu, Pak Lung-Chu, Ho Siu-Hung ",Bandits of Shandong Province
Hong Kong,Do Wai-Daat ,martial arts,https://en.hkcinema.ru/foto/913c3a87.jpg,1996,"Yu Rong-Guang, Willie Chi Tin-Sang, Cherie Chan Siu-Ha, Shing Fui-On, Billy Chow Bei-Lei, William Ho Ka-Kui, Chung Gwok-Lung, Lee Chi-Chung ",18 Shaolin Golden Boys
Hong Kong,Ho Meng-Hua ,martial arts,https://en.hkcinema.ru/foto/72785b43.jpg,1979,"David Chiang Da-Wei, Lily Li Li-Li, Lo Lieh, Norman Chu Siu-Keung, Bruce Tong Yim-Chaan, Wang Han-Chen, Wong Kung-Miu, Wong Chi-Ming ",Abbot of Shaolin
Hong Kong,"Tony Liu Chun-Ku, Tony Wong Yuk-Long ",martial arts,https://en.hkcinema.ru/foto/61038230.jpg,1979,"Meng Yuen-Man, Mang Hoi, Hwang Jang-Lee, Jason Pai Piao, Lau Hok-Nin, Yip Fei-Yang, Kwan Yung-Moon, Wang Han-Chen, Hsu Hsia, Tai San ",The Dragon and the Tiger Kids
Hong Kong,,martial arts,https://en.hkcinema.ru/foto/9d395c2c.jpg,1988,"Liu Dong, Fang Shu, Kong Ngai ",Army of Darkness
Taiwan,Chang Mei-Chun ,martial arts,https://en.hkcinema.ru/foto/d1f98117.jpg,1977,"Pai Ying, Han Hsiang-Chin, Liang Hsiu-Shen, Cheung Yu-Yuk, Lam Dai, Goo Chang, Lee Ying ",13 Golden Nuns
Hong Kong,Siu Sang ,martial arts,https://en.hkcinema.ru/foto/1bc1fb13.jpg,1966,"Josephine Siao Fong-Fong, Connie Chan Po-Chu, Lee Hung, Sek Kin, Lee Heung-Kam, Tang Ti, Lau Ching, Yam Bing-Yee, Lin Jing ","Infernal Gate, The (Part 2)"
Taiwan,Wong Biu-Man ,martial arts,https://en.hkcinema.ru/foto/a8616f39.jpg,2004,"Ashton Chen, Xing Yu, Xie Miao, Faan Man-Git, Siu Lung-Lui ",Shaolin Gang
Taiwan,Law Chi ,martial arts,https://en.hkcinema.ru/foto/7e8e00a5.jpg,1968,"Ting Ying, Wu Chia-Chi, Tsui Fu-Sheng, Got Siu-Bo, Wu Heng, Chow Siu-Hing, Wu Hsiao-Hui, Lan Pai, Wong Tak-Ling, Tung Te-Ling, Feng Mei-Li ",Crazy Swordsman
Hong Kong,Chor Yuen ,martial arts,https://en.hkcinema.ru/foto/b9a993c2.jpg,1980,"Derek Yee Tung-Sing, Ching Li, Wong Yung, Ku Kuan-Chung, Ku Feng, Tang Ching, Au-Yeung Pui-San, Alan Chan Kwok-Kuen, Wong Chi-Ming ",Bat Without Wings
Hong Kong,"Tony Liu Chun-Ku, Chan Hei ",martial arts,https://en.hkcinema.ru/foto/35a38136.jpg,1982,"Hon Kwok-Choi, Chi Kuan-Chun, Kwan Hoi-San, Chu Tit-Wo, Wong Chi-Ming, Kong Chuen, Candy Wen Xue-Er, Stephan Yip Tin-Hang, Fung Ming ","Crazy Horse, Intelligent Monkey"
Taiwan,"Yang Wen-Kan, Ku Hsi ",martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1974,"Cheung Chaan-Ting, Nancy Yen Nan-See, So Fung-Gat, Lee Git-Yue, Wei Su, Chu Siu-Wa, Yu Chung-Chiu, Ma Cheung, Cho Boot-Lam, Blacky Ko Sau-Leung ",The Fearless Golden Dragon
Hong Kong,Ling Yun ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1965,"Walter Tso Tat-Wah, Yu So-Chau, Tam Sin-Hung, Lam Kau, Chan Wan-Wa, Lau Hak-Suen, Lee Pang-Fei, Lok Gung, Cheung Sang, Siu Chung-Kwan ",Priceless Sword (Part 2)
