_id,country,director,genre,poster,release_year,starring,title
5decc92c3e516e768a388aae,Hong Kong,Law Chi ,martial arts,https://en.hkcinema.ru/foto/b013447d.jpg,1970,"Tam Yi-Lee, Chu Mu, Wendy Chun Wan, Chung Yau, Got Tin, Cheung Ban, Leung Yui, Chai Lin-Fui, Lau Kong, Chui Dai-Chuen, Kam Shan ",The Great Highwayman
5decc92c3e516e768a388ab7,Hong Kong,Lo Wei ,martial arts,https://en.hkcinema.ru/foto/ece564b1.jpg,1978,"Jackie Chan, Bruce Leung Siu-Lung, Wang Ping, James Tin Chuen, Wong Gwan, Ko Keung, Lee Man-Tai, Lui Wan-Biu, Chui Yuen, Liu Ming ",Magnificent Bodyguards
5decc92c3e516e768a388aef,South Korea,Lee Doo-Yong ,martial arts,https://en.hkcinema.ru/foto/4bc69ace.jpg,1974,"Charles Han Yong-Cheol, Kwan Yung-Moon, Jeong Ae-Jeong, Lee So-Yeong, Kim Mun-Ju, Bae Su-Cheon, Kim Wang-Kuk, Park Dong-Yong, Chiu Chun ",Returned Single-Legged Man
5decc92c3e516e768a388b20,Taiwan,Ting Shan-Hsi ,"martial arts, drama, historical, fantasy",https://en.hkcinema.ru/foto/5143f064.jpg,1993,"Gam Siu-Mooi, Tou Chung-Hua, Emily Chu Bo-Yee, Liu Chun, Doris Kuang Ming-Chieh, Lee Chih-Chi, Don Wong Tao, Wong Kuen, Chang Fu-Chien ",Magic Sword
5decc92c3e516e768a388b2f,Hong Kong,Wu Pang ,martial arts,https://en.hkcinema.ru/foto/2ea740e2.jpg,1956,"Kwan Tak-Hing, Walter Tso Tat-Wah, Yam Yin, Sek Kin, Wong Siu-Ang, Ding Yue, Lam Sing-Fan, Liu Chia-Liang, Sai Gwa-Pau, Siu Lo-Fu, Siu Hon-Sang ",Wong Fei-Hung's Battle at Shuangmendi
5decc92c3e516e768a388b46,Hong Kong,Wu Pang ,"martial arts, musical",https://en.hkcinema.ru/foto/nofoto.gif,1957,"Kwan Tak-Hing, Tang Pik-Wan, Lau Cham, Leung Miu-Seung, Sek Kin, Au-Yeung Kim, Sai Gwa-Pau, Siu Hon-Sang ",Wong Fei-Hung's Three Battles with the Unruly Girl
5decc92c3e516e768a388b57,South Korea,Lee Doo-Yong ,martial arts,https://en.hkcinema.ru/foto/b484bb7f.jpg,1974,"Charles Han Yong-Cheol, Woo Yeon-Jeong, Bae Su-Cheon, Bruce Cheung Mong, Kim Mun-Ju, Kim Hong-Ji, Kim Yeong-Ran, Choe Jae-Ho, Jo Deok-Seong ",Gate of Destiny
5decc92c3e516e768a388b6d,Hong Kong,,"martial arts, drama",https://en.hkcinema.ru/foto/nofoto.gif,1987,"Cecilia Wong Hang-Sau, Mang Fei, Kitty Lai Mei-Han, Andy Tai Chi-Wai, Paul Chun Pui, Eddy Ko Hung, Lau Kong, Ng Man-Tat ",The Rise of a Kung Fu Master
5decc92c3e516e768a388b76,Taiwan,Ulysses Au-Yeung Jun ,martial arts,https://en.hkcinema.ru/foto/5622bd356ac72.jpg,1975,"Hsu Feng, Carter Wong Ka-Tat, Liu Shan-Chian, Chin Chi-Min, Wang Ching-Ping, Chang Yu, Chang Fang-Hsia, Chiang Ching-Hsia, Chan Wai-Lau ",Dragon Gate
5decc92c3e516e768a388b7b,Hong Kong,Billy Chan Wui-Ngai ,martial arts,https://en.hkcinema.ru/foto/e38de328.jpg,1993,"Tony Leung Ka-Fai, Joey Wong Cho-Yin, Lau Ching-Wan, Elvis Tsui Kam-Kong, Billy Ching Sau-Yat, Wu Ma, Lam Wai, Lau Shun, Austin Wai Tin-Chi ",All Men Are Brothers - Blood of the Leopard
5decc92c3e516e768a388b82,South Korea,Kim Si-Hyeon ,martial arts,https://en.hkcinema.ru/foto/562bb895489b4.jpg,1975,"Ko Keung, Whang In-Shik, Martin Chui Man-Kwai, Kim Ki-Ju, Lee Ye-Min, Han Myeong-Hwan, Lee Suk-Koo, Jang Jeong-Kuk, Chiu Chun ",Close Kung Fu Encounter
5decc92c3e516e768a388b92,Hong Kong,Kao Pao-Shu ,martial arts,https://en.hkcinema.ru/foto/146e08c1.jpg,1973,"Wong Yuen-San, Woo Gam, Kurata Yasuaki, Hsu Feng, Tien Feng, Cindy Tang Hsin, Tien Yeh, Chan Wai-Lau, Hsieh Han, Sun Yueh, Shih Ting-Ken ",Win Them All
5decc92c3e516e768a388b9e,Hong Kong,Chor Yuen ,martial arts,https://en.hkcinema.ru/foto/ab8fc108.jpg,1980,"Alexander Fu Sheng, Derek Yee Tung-Sing, Jason Pai Piao, Ku Feng, Angie Chiu Nga-Chi, Yueh Hua, Wang Sha, Keung Hon, Ku Kuan-Chung ",Heroes Shed No Tears
5decc92c3e516e768a388ba5,Hong Kong,Hung Chung-Ho ,martial arts,https://en.hkcinema.ru/foto/f3cdb2b3.jpg,1950,"Yu So-Chau, Lam Kau, Ha Wa, Sek Kin, Yam Yin, Ng Tung ","Heroine, The (Part 1)"
5decc92c3e516e768a388c08,Taiwan,Larry Tu Chong-Hsun ,martial arts,https://en.hkcinema.ru/foto/077a2f8d.jpg,1969,"Hsu Feng, Shih Chun, Chan Wai-Lau, Hsieh Han, Wan Chung-Shan, Go Ming, Chia Lu-Shih, Gam Ban, Liu Chik, Lung Fei, Lee Kwai, Lee Keung ",City Called Dragon
5decc92c3e516e768a388c12,Hong Kong,Wu Min-Hsiung ,martial arts,https://en.hkcinema.ru/foto/4f4743dd.jpg,1973,"Chang Yu, Tin Mat, Pai Ying, An Hua, Chang Peng, Gam Ying, Wu Min-Hsiung, Wang Tai-Lang, Lam Fung-Sing, Lee Saan, Li Hsun, Kim Wang-Kuk ",Stormy Sun
5decc92c3e516e768a388c42,Hong Kong,Yam Pang-Nin ,martial arts,https://en.hkcinema.ru/foto/c4deb6b3.jpg,1947,"Wong Ho, Wu Lai-Chu, Walter Tso Tat-Wah, Yam Yi-Ji, Meng Na, Chiang Nan, Chui Dai-Chuen, Wah Mung, Wai To-Ming, Wong Kwai-Ping ",Female Robin Hood
5decc92c3e516e768a388c45,Taiwan,Sun Yung ,martial arts,https://en.hkcinema.ru/foto/50af5dbd.jpg,1979,"Chi Kuan-Chun, Pai Ying, Lo Dik, Chiang Ching-Hsia, Phoenix Chen, Wong Yeuk-Ping, Hsiao Wang, Liu Yin-Shang, Yen Chung, Chen Chin-Hai ",Yoga and the Kung-Fu Girl
5decc92c3e516e768a388c57,Hong Kong,"Griffin Yueh Feng, Wong Ping ",martial arts,https://en.hkcinema.ru/foto/f8659fdb.jpg,1974,"Shu Pei-Pei, Yueh Hua, Wang Hsieh, Karen Yip Leng-Chi, Li Min-Lang, Tung Li, Chan Ho, Chan Shen, Yue Fung, Bai Yu, Wang Han-Chen ",Village of Tigers
5decc92c3e516e768a3889ff,China,"Bai Shan, Liu Fang ","historical, action, martial arts",https://en.hkcinema.ru/foto/5c511aeb00745.jpg,2019,"Vincent Zhao Wen-Zhuo, Nikita Mao, Ashton Chen, Wu Chao, Zhang Yong-Gang, Ying Zhi-Gang, Eddy Ko Hung, Austin Sui Ming-Yang, Hasi Gaowa ",Fearless
5decc92c3e516e768a388a07,Taiwan,Joseph Kuo Nan-Hong ,martial arts,https://en.hkcinema.ru/foto/nofoto.gif,1971,"Chiang Nan, Li Hsuan, Chiang Ching-Hsia, Chen Kuo-Chun ",Battle of the Mirror Guardian
5decc92c3e516e768a388a0e,Hong Kong,Yu Chik-Lim ,martial arts,https://en.hkcinema.ru/foto/8c7d71f9.jpg,1979,"Lee Wing, Casanova Wong, Pearl Cheung Ling, Chu Tit-Wo, Ho Pak-Kwong, Tsai Hung, Tien Feng, Chan Wai-Lau, Ling Yun, Ma Shih-Hen ",The Monk's Fight
5decc92c3e516e768a388a1a,Taiwan,"Lee Chi-Sin, Lau Sau-Wa ",martial arts,https://en.hkcinema.ru/foto/8ea65d9a.jpg,1972,"Chen Hung-Lieh, Mang Lee, Shih Chun, Lisa Chiao Chiao, Kong Ban, Miao Tian, Shen Yi, Wang Lai, Yeung Fui-Yuk, Wong Yeuk-Ping, Lee Keung ",Chivalrous Robber Lee San
5decc92c3e516e768a388a2c,China,Si Xiao-Dong ,"drama, historical, martial arts, action",https://en.hkcinema.ru/foto/5d7a478658cf1.jpg,2007,"Shang Rong, Anna Fang An-Na, Gao Fa, Zhang Wen-Jun, Xiu Ge, Wang Ou, Qi Jing-Bin, Deng Hui-Dan, Niu Ting-Ting, Chiu Chin, Du Hong-Jun ",Super Woman Caputor: Unknown Killer
5decc92c3e516e768a388a2f,China,Si Xiao-Dong ,"historical, martial arts, action, drama",https://en.hkcinema.ru/foto/5d7a44cc45fc1.jpg,2007,"Shang Rong, Wu Yue, Miao Hai-Zhong, Anna Fang An-Na, Cui Bao-Gui, Fu Hong-Jun, Tian Xi-Ping ",Super Woman Caputor: The Puzzle
